Price,Close,High,Low,Open,Volume
Ticker,MMM,MMM,MMM,MMM,MMM
Date,,,,,
2021-03-19,134.151123046875,135.7790393176973,134.1369043044831,135.49469041646938,7987964
2021-03-22,134.69139099121094,134.89753680110033,132.94260250617134,133.83120900386632,3115939
2021-03-23,133.88095092773438,136.28374921876264,133.5752739791017,134.19373724602374,3311365
2021-03-24,135.5586395263672,137.0159434830473,133.7032238594856,133.95203881337338,3383723
2021-03-25,137.2718963623047,137.45672703050747,135.18900638958814,136.23400606136002,2656316
2021-03-26,138.53726196289062,138.58702755451637,136.63920281721641,137.2079005425831,3202410
2021-03-29,139.1486053466797,139.84527168334196,137.56333266495818,137.64153573157643,3111753
2021-03-30,138.3666534423828,139.78131436685138,137.82638021139812,138.60834608959723,2244533
2021-03-31,136.97329711914062,138.21734591362872,136.52543280700814,137.86901277010412,2902572
2021-04-01,136.98753356933594,137.8548118556892,135.66528154283804,137.37851000522812,2274912
2021-04-05,138.60121154785156,139.29787776274551,137.7054959896593,137.83345164845818,2347748
2021-04-06,138.5088348388672,139.05621746777064,137.90457724385294,138.62257179778447,1761349
2021-04-07,138.58700561523438,138.87135443290333,137.8547924904403,138.02540437570195,1795794
2021-04-08,139.13441467285156,139.80975297369176,137.9330089043022,138.21026137908427,2860593
2021-04-09,140.7552032470703,141.43765083033338,139.37608934145103,139.37608934145103,2582882
2021-04-12,140.63436889648438,141.67225909872587,140.08698631475923,140.8974026187719,2011792
2021-04-13,139.6675262451172,140.2788930129751,138.8855605807642,139.3405212424514,2702601
2021-04-14,139.86660766601562,140.3215814053474,138.63677745308624,139.0135481213974,1883700
2021-04-15,140.38551330566406,140.62010947948636,139.26943332790827,140.24333891707155,1748074
2021-04-16,141.1675262451172,141.94239566273538,140.74099000227545,141.2670444493522,3312322
2021-04-19,141.17462158203125,141.2457152732056,139.80972649789388,140.8333978109969,2631798
2021-04-20,140.968505859375,141.71493795123152,140.35715182196108,141.42347967509747,1977108
2021-04-21,142.8025665283203,143.24330854362913,140.84052313594222,140.96847882125087,3168204
2021-04-22,142.81678771972656,143.71961284891324,142.3049519964031,142.65328518199698,2650097
2021-04-23,143.7409210205078,144.42338159183885,142.8807521532716,142.887861522972,2229464
2021-04-26,141.91397094726562,144.30253779676121,141.87842409494795,144.2954284262977,3084364
2021-04-27,138.23153686523438,139.23387987920344,134.09418321643,136.14152545091125,6249100
2021-04-28,139.28367614746094,140.26469127434487,138.48747867639423,138.62254372024609,3010212
2021-04-29,141.5016632080078,141.7575875891178,139.52540078860153,139.90928087361416,2256852
2021-04-30,140.14385986328125,141.45898954155243,139.42586537847046,140.5135211608058,2998492
2021-05-03,141.18887329101562,141.80022728467472,139.80264977581186,140.74811824941105,2128641
2021-05-04,141.73623657226562,141.86419225549116,140.42820334087386,141.1035415793398,2247284
2021-05-05,143.20065307617188,143.39968947041987,140.66989922585654,142.17696876115895,2414126
2021-05-06,143.89022827148438,143.9613090003666,142.50400486529264,143.0869213300009,2201358
2021-05-07,144.359375,144.92808556841248,143.05845135858524,143.8191019060032,2204946
2021-05-10,147.38778686523438,148.53941408934045,145.06319133191758,145.73142027512134,3842389
2021-05-11,144.8214874267578,147.08922099554053,143.88312833619685,146.8688434776177,3052790
2021-05-12,141.37367248535156,144.80723834048192,141.3025787934021,144.72904825263896,2667798
2021-05-13,144.6011199951172,145.0489714194019,141.03247544870948,141.21019673897558,2014423
2021-05-14,145.2906494140625,145.8167038142762,144.31673070143228,145.02050635811415,1764578
2021-05-17,145.80960083007812,145.9802127248266,144.80014820059156,145.4470489320749,1833109
2021-05-18,144.33091735839844,145.85932760827532,144.1745242442652,145.72424962367515,2119073
2021-05-19,144.02528381347656,144.09636453766095,141.70068855858824,143.5347762207246,2655359
2021-05-20,144.40481567382812,144.79152055382693,143.58127411526087,144.0037874228094,1689350
2021-05-21,144.55520629882812,145.91582207366966,143.9966340032954,144.44778101001225,1838491
2021-05-24,145.09228515625,145.7439462623474,144.5981680625464,145.2283441121216,1828923
2021-05-25,144.4477996826172,145.37159194200157,144.20432846736784,145.26417970807057,1817202
